北京林业大学,北京市,"['211工程,有研究生院,自主招生,含国防生']"
东北林业大学,黑龙江省,"['211工程,卓越计划']"
南京林业大学,江苏省,['']
西北农林科技大学,陕西省,"['211工程,985高校,有研究生院,自主招生']"
河北农业大学,河北省,['']
福建农林大学,福建省,['']
江西农业大学,江西省,['']
西藏大学,西藏自治区,['211工程']
宁夏大学,宁夏回族自治区,"['211工程,含国防生,卓越计划']"
青岛农业大学,山东省,['']
华中农业大学,湖北省,"['211工程,自主招生']"
内蒙古农业大学,内蒙古自治区,['']
广西大学,广西壮族自治区,"['211工程,自主招生,含国防生,卓越计划']"
西藏大学,西藏自治区,['211工程']
青海大学,青海省,"['211工程,卓越计划']"
山东农业大学,山东省,['']
北京农学院,北京市,['']
石河子大学,新疆维吾尔自治区,"['211工程,含国防生']"
信阳农林学院,河南省,['']
山西农业大学,山西省,['']
西南林业大学,云南省,['']
黄山学院,安徽省,['']
青海大学,青海省,"['211工程,卓越计划']"
新疆农业大学,新疆维吾尔自治区,['']
河南农业大学,河南省,['']
中南林业科技大学,湖南省,['']
北华大学,吉林省,['']
贵州大学,贵州省,"['211工程,自主招生,含国防生,卓越计划']"
安徽农业大学,安徽省,['']
甘肃农业大学,甘肃省,['']
福建农林大学金山学院,福建省,['']
青岛农业大学,山东省,['']
青岛农业大学(莱阳校区),山东省,['']
华中农业大学,湖北省,"['211工程,自主招生']"
内蒙古农业大学,内蒙古自治区,['']
广西大学,广西壮族自治区,"['211工程,自主招生,含国防生,卓越计划']"
西藏大学,西藏自治区,['211工程']
宁夏大学,宁夏回族自治区,"['211工程,含国防生,卓越计划']"
