中国农业大学,北京市,"['211工程,985高校,有研究生院']"
南京农业大学,江苏省,"['211工程,有研究生院']"
西北农林科技大学,陕西省,"['211工程,985高校,有研究生院,自主招生']"
华中农业大学,湖北省,"['211工程,自主招生']"
福建农林大学,福建省,['']
华南农业大学,广东省,['']
浙江大学,浙江省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
河南农业大学,河南省,['']
西南大学,重庆市,"['211工程,自主招生,含国防生']"
山东农业大学,山东省,['']
石河子大学,新疆维吾尔自治区,"['211工程,含国防生']"
仲恺农业工程学院,广东省,['']
安徽农业大学,安徽省,['']
河北农业大学,河北省,['']
四川农业大学,四川省,['211工程']
内蒙古农业大学,内蒙古自治区,['']
西南林业大学,云南省,['']
吉林农业大学,吉林省,['']
甘肃农业大学,甘肃省,['']
新疆农业大学,新疆维吾尔自治区,['']
安徽科技学院,安徽省,['卓越计划']
河北北方学院,河北省,['']
贵州大学,贵州省,"['211工程,自主招生,含国防生,卓越计划']"
青岛农业大学,山东省,['']
内蒙古农业大学,内蒙古自治区,['']
西南林业大学,云南省,['']
吉林农业大学,吉林省,['']
甘肃农业大学,甘肃省,['']
石河子大学,新疆维吾尔自治区,"['211工程,含国防生']"
仲恺农业工程学院,广东省,['']
内蒙古农业大学,内蒙古自治区,['']
西南林业大学,云南省,['']
吉林农业大学,吉林省,['']
长江大学,湖北省,['卓越计划']
黑龙江八一农垦大学,黑龙江省,['']
新疆农业大学,新疆维吾尔自治区,['']
广东海洋大学,广东省,['']
浙江农林大学,浙江省,['']
河北工程大学,河北省,['']
江西农业大学,江西省,['']
云南农业大学,云南省,['']
河南科技大学,河南省,['卓越计划，含国防生']
吉林大学,吉林省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
长江大学,湖北省,['卓越计划']
塔里木大学,新疆维吾尔自治区,['']
天津农学院,天津市,['']
海南大学,海南省,"['211工程,卓越计划']"
河北科技师范学院,河北省,['']
凯里学院,贵州省,['']
聊城大学,山东省,['含国防生']
河南科技学院,河南省,['']
吉林农业科技学院,吉林省,['']
宁夏大学,宁夏回族自治区,"['211工程,含国防生,卓越计划']"
湖南农业大学,湖南省,['']
