华中农业大学,湖北省,"['211工程,自主招生']"
中国农业大学,北京市,"['211工程,985高校,有研究生院']"
南京农业大学,江苏省,"['211工程,有研究生院']"
西北农林科技大学,陕西省,"['211工程,985高校,有研究生院,自主招生']"
河南农业大学,河南省,['']
河北农业大学,河北省,['']
山东农业大学,山东省,['']
西藏大学,西藏自治区,['211工程']
福建农林大学,福建省,['']
塔里木大学,新疆维吾尔自治区,['']
华南农业大学,广东省,['']
内蒙古农业大学,内蒙古自治区,['']
西昌学院,四川省,['']
西藏大学,西藏自治区,['211工程']
福建农林大学,福建省,['']
银川能源学院,宁夏回族自治区,['']
滨州学院,山东省,['']
青岛农业大学(莱阳校区),山东省,['']
山西农业大学,山西省,['']
四川农业大学,四川省,['211工程']
红河学院,云南省,['']
安徽科技学院,安徽省,['卓越计划']
银川能源学院,宁夏回族自治区,['']
青岛农业大学,山东省,['']
石河子大学,新疆维吾尔自治区,"['211工程,含国防生']"
河北科技师范学院,河北省,['']
海南大学,海南省,"['211工程,卓越计划']"
吉林农业大学,吉林省,['']
云南农业大学,云南省,['']
安徽农业大学,安徽省,['']
天津农学院,天津市,['']
华南农业大学,广东省,['']
内蒙古农业大学,内蒙古自治区,['']
西昌学院,四川省,['']
西藏大学,西藏自治区,['211工程']
福建农林大学,福建省,['']
塔里木大学,新疆维吾尔自治区,['']
