哈尔滨工程大学,黑龙江省,"['211工程,有研究生院,自主招生,含国防生,卓越计划']"
大连海事大学,辽宁省,"['211工程,自主招生,含国防生,卓越计划']"
武汉理工大学,湖北省,"['211工程,自主招生,含国防生,卓越计划']"
上海海事大学,上海市,['卓越计划']
天津理工大学,天津市,['卓越计划']
钦州学院,广西壮族自治区,['']
公安海警学院,浙江省,['']
集美大学诚毅学院,福建省,['']
华中科技大学,湖北省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
广州航海学院,广东省,['']
华中科技大学,湖北省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
天津理工大学,天津市,['卓越计划']
钦州学院,广西壮族自治区,['']
泉州师范学院,福建省,['']
山东交通学院,山东省,['']
广州航海学院,广东省,['']
浙江海洋大学,浙江省,['']
集美大学,福建省,['含国防生']
烟台大学,山东省,['卓越计划']
广东海洋大学,广东省,['']
江苏科技大学苏州理工学院,江苏省,['']
集美大学,福建省,['含国防生']
