中国农业大学,北京市,"['211工程,985高校,有研究生院']"
吉林大学,吉林省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
东北农业大学,黑龙江省,['211工程']
华南农业大学,广东省,['']
华中农业大学,湖北省,"['211工程,自主招生']"
西南大学,重庆市,"['211工程,自主招生,含国防生']"
南京农业大学,江苏省,"['211工程,有研究生院']"
沈阳农业大学,辽宁省,['']
云南农业大学,云南省,['']
山东理工大学,山东省,['卓越计划，含国防生']
江苏大学,江苏省,['卓越计划']
四川农业大学,四川省,['211工程']
安徽农业大学,安徽省,['']
天津农学院,天津市,['']
西北农林科技大学,陕西省,"['211工程,985高校,有研究生院,自主招生']"
山东农业大学,山东省,['']
内蒙古农业大学,内蒙古自治区,['']
新疆农业大学,新疆维吾尔自治区,['']
湖北工业大学,湖北省,['卓越计划']
西华大学,四川省,['']
浙江农林大学,浙江省,['']
云南农业大学,云南省,['']
山东理工大学,山东省,['卓越计划，含国防生']
山西农业大学,山西省,['']
塔里木大学,新疆维吾尔自治区,['']
河南农业大学,河南省,['']
扬州大学,江苏省,['卓越计划']
昆明理工大学,云南省,['卓越计划']
江西农业大学,江西省,['']
河北农业大学现代科技学院,河北省,['']
宁夏大学,宁夏回族自治区,"['211工程,含国防生,卓越计划']"
河南科技大学,河南省,['卓越计划，含国防生']
青岛农业大学(莱阳校区),山东省,['']
湖南农业大学,湖南省,['']
黑龙江八一农垦大学,黑龙江省,['']
贵州大学,贵州省,"['211工程,自主招生,含国防生,卓越计划']"
福建农林大学,福建省,['']
河北科技师范学院,河北省,['']
甘肃农业大学,甘肃省,['']
青岛农业大学,山东省,['']
延边大学,吉林省,['211工程']
广西大学,广西壮族自治区,"['211工程,自主招生,含国防生,卓越计划']"
江苏大学,江苏省,['卓越计划']
四川农业大学,四川省,['211工程']
