中国农业大学,北京市,"['211工程,985高校,有研究生院']"
河海大学,江苏省,"['211工程,有研究生院,含国防生,卓越计划']"
西北农林科技大学,陕西省,"['211工程,985高校,有研究生院,自主招生']"
东北农业大学,黑龙江省,['211工程']
内蒙古农业大学,内蒙古自治区,['']
石河子大学,新疆维吾尔自治区,"['211工程,含国防生']"
江西农业大学,江西省,['']
河北工程大学,河北省,['']
四川农业大学,四川省,['211工程']
太原理工大学现代科技学院,山西省,['']
西安理工大学,陕西省,['卓越计划']
沈阳工学院,辽宁省,['']
青海大学,青海省,"['211工程,卓越计划']"
安徽农业大学,安徽省,['']
三峡大学,湖北省,['卓越计划']
山西农业大学,山西省,['']
西藏大学,西藏自治区,['211工程']
沈阳农业大学,辽宁省,['']
河西学院,甘肃省,['']
新疆农业大学,新疆维吾尔自治区,['']
浙江水利水电学院,浙江省,['']
合肥工业大学(宣城校区),安徽省,['']
南昌工程学院,江西省,['卓越计划']
河北农业大学,河北省,['']
昆明理工大学,云南省,['卓越计划']
长春工程学院,吉林省,['卓越计划']
宁夏大学,宁夏回族自治区,"['211工程,含国防生,卓越计划']"
扬州大学,江苏省,['卓越计划']
江西农业大学,江西省,['']
河北工程大学,河北省,['']
扬州大学,江苏省,['卓越计划']
合肥工业大学(宣城校区),安徽省,['']
南昌工程学院,江西省,['卓越计划']
河北农业大学,河北省,['']
昆明理工大学,云南省,['卓越计划']
