中国地质大学(武汉),湖北省,"['211工程,有研究生院,自主招生,含国防生,卓越计划']"
吉林大学,吉林省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
成都理工大学,四川省,['卓越计划']
中国地质大学(北京),北京市,"['211工程,有研究生院,含国防生,卓越计划']"
长江大学,湖北省,['卓越计划']
长安大学,陕西省,"['211工程,自主招生,含国防生,卓越计划']"
西北大学,陕西省,"['211工程,含国防生']"
东华理工大学,江西省,['卓越计划']
桂林理工大学,广西壮族自治区,['卓越计划']
赤峰学院,内蒙古自治区,['']
南华大学,湖南省,['卓越计划']
合肥工业大学,安徽省,"['211工程,自主招生,含国防生,卓越计划']"
中国石油大学(北京),北京市,"['211工程,有研究生院,自主招生,卓越计划']"
东华理工大学长江学院,江西省,['']
华北理工大学,河北省,['']
西藏大学,西藏自治区,['211工程']
河南理工大学,河南省,['卓越计划，含国防生']
赤峰学院,内蒙古自治区,['']
长江大学工程技术学院,湖北省,['']
长春工程学院,吉林省,['卓越计划']
哈尔滨师范大学,黑龙江省,['']
中国矿业大学(北京),北京市,"['211工程,有研究生院']"
西南石油大学,四川省,['']
河北地质大学,河北省,['']
昆明理工大学,云南省,['卓越计划']
中国石油大学胜利学院,山东省,['']
太原理工大学,山西省,"['211工程,含国防生,卓越计划']"
西安石油大学,陕西省,['卓越计划']
新疆工程学院,新疆维吾尔自治区,['']
湖南科技大学,湖南省,['卓越计划']
宿州学院,安徽省,['']
贵州大学,贵州省,"['211工程,自主招生,含国防生,卓越计划']"
中国石油大学(华东),山东省,"['211工程,卓越计划']"
防灾科技学院,河北省,['卓越计划']
河南工程学院,河南省,['']
东北大学,辽宁省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
青海大学,青海省,"['211工程,卓越计划']"
武汉工程科技学院,湖北省,['']
黑龙江科技大学,黑龙江省,['']
合肥工业大学,安徽省,"['211工程,自主招生,含国防生,卓越计划']"
中国地质大学长城学院,河北省,['']
河南工程学院,河南省,['']
东北大学,辽宁省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
青海大学,青海省,"['211工程,卓越计划']"
武汉工程科技学院,湖北省,['']
黑龙江科技大学,黑龙江省,['']
宿州学院,安徽省,['']
贵州大学,贵州省,"['211工程,自主招生,含国防生,卓越计划']"
中国石油大学(华东),山东省,"['211工程,卓越计划']"
防灾科技学院,河北省,['卓越计划']
