北京科技大学,北京市,"['211工程,有研究生院,自主招生,含国防生,卓越计划']"
东北大学,辽宁省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
中南大学,湖南省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
昆明理工大学,云南省,['卓越计划']
重庆大学,重庆市,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
上海大学,上海市,"['211工程,自主招生,卓越计划']"
内蒙古科技大学,内蒙古自治区,['卓越计划']
武汉科技大学,湖北省,['卓越计划，含国防生']
贵州师范大学,贵州省,['']
安徽工业大学,安徽省,['卓越计划']
辽宁科技学院,辽宁省,['']
四川大学,四川省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
江苏科技大学,江苏省,['卓越计划，含国防生']
河北工程大学,河北省,['']
六盘水师范学院,贵州省,['']
江西理工大学,江西省,['卓越计划']
太原科技大学,山西省,['']
西安建筑科技大学华清学院,陕西省,['']
太原理工大学现代科技学院,山西省,['']
青海大学,青海省,"['211工程,卓越计划']"
贵州师范大学,贵州省,['']
安徽工业大学,安徽省,['卓越计划']
华北理工大学轻工学院,河北省,['']
西安建筑科技大学,陕西省,['卓越计划']
河南科技大学,河南省,['卓越计划，含国防生']
太原理工大学现代科技学院,山西省,['']
青海大学,青海省,"['211工程,卓越计划']"
湖南工业大学,湖南省,['']
辽宁科技大学,辽宁省,['卓越计划']
贵州大学,贵州省,"['211工程,自主招生,含国防生,卓越计划']"
江苏大学,江苏省,['卓越计划']
河北科技大学,河北省,['卓越计划，含国防生']
红河学院,云南省,['']
山东理工大学,山东省,['卓越计划，含国防生']
吕梁学院,山西省,['']
兰州理工大学技术工程学院,甘肃省,['']
攀枝花学院,四川省,['']
南京工业大学,江苏省,['卓越计划']
华北理工大学,河北省,['']
江西理工大学应用科学学院,江西省,['']
太原科技大学,山西省,['']
西安建筑科技大学华清学院,陕西省,['']
东北大学秦皇岛分校,河北省,['有研究生院']
广西大学,广西壮族自治区,"['211工程,自主招生,含国防生,卓越计划']"
辽宁科技学院,辽宁省,['']
四川大学,四川省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
