哈尔滨工程大学,黑龙江省,"['211工程,有研究生院,自主招生,含国防生,卓越计划']"
上海交通大学,上海市,"['211工程,985高校,自主招生,含国防生,卓越计划']"
武汉理工大学,湖北省,"['211工程,自主招生,含国防生,卓越计划']"
大连理工大学,辽宁省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
天津大学,天津市,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
江苏科技大学,江苏省,['卓越计划，含国防生']
鲁东大学,山东省,['']
大连海洋大学,辽宁省,['']
南京航空航天大学,江苏省,"['211工程,含国防生,卓越计划']"
广州航海学院,广东省,['']
山东交通学院,山东省,['']
文华学院,湖北省,['']
南京航空航天大学,江苏省,"['211工程,含国防生,卓越计划']"
广州航海学院,广东省,['']
南通理工学院,江苏省,['']
集美大学,福建省,['含国防生']
鲁东大学,山东省,['']
大连海洋大学,辽宁省,['']
广东海洋大学,广东省,['']
淮海工学院,江苏省,['']
大连海事大学,辽宁省,"['211工程,自主招生,含国防生,卓越计划']"
华中科技大学,湖北省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
上海海事大学,上海市,['卓越计划']
广东海洋大学,广东省,['']
淮海工学院,江苏省,['']
浙江大学,浙江省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
中国石油大学(华东),山东省,"['211工程,卓越计划']"
青岛黄海学院,山东省,['']
华南理工大学,广东省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
南通大学,江苏省,['']
浙江大学,浙江省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
