南京航空航天大学,江苏省,"['211工程,含国防生,卓越计划']"
北京航空航天大学,北京市,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
西北工业大学,陕西省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
南昌航空大学,江西省,['卓越计划']
山东交通学院,山东省,['']
贵州理工学院,贵州省,['']
中国民航大学,天津市,['卓越计划']
哈尔滨工业大学,黑龙江省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
合肥工业大学,安徽省,"['211工程,自主招生,含国防生,卓越计划']"
临沂大学,山东省,['']
中国民用航空飞行学院,四川省,['']
西北工业大学明德学院,陕西省,['']
沈阳航空航天大学,辽宁省,['卓越计划']
南昌航空大学科技学院,江西省,['']
桂林航天工业学院,广西壮族自治区,['']
西安航空学院,陕西省,['']
中北大学,山西省,['卓越计划，含国防生']
南昌理工学院,江西省,['']
北京理工大学珠海学院,广东省,['']
北华航天工业学院,河北省,['']
南昌理工学院,江西省,['']
