中央民族大学,北京市,['211工程，985高校']
西南民族大学,四川省,['']
新疆大学,新疆维吾尔自治区,"['211工程,含国防生']"
青海师范大学,青海省,['']
新疆师范大学,新疆维吾尔自治区,['']
云南民族大学,云南省,['']
赤峰学院,内蒙古自治区,['']
新疆农业大学,新疆维吾尔自治区,['']
呼和浩特民族学院,内蒙古自治区,['']
新疆财经大学,新疆维吾尔自治区,['']
青海民族大学,青海省,['']
呼伦贝尔学院,内蒙古自治区,['']
石河子大学,新疆维吾尔自治区,"['211工程,含国防生']"
呼和浩特民族学院,内蒙古自治区,['']
新疆财经大学,新疆维吾尔自治区,['']
西昌学院,四川省,['']
赤峰学院,内蒙古自治区,['']
新疆农业大学,新疆维吾尔自治区,['']
伊犁师范学院,新疆维吾尔自治区,['']
广西民族大学,广西壮族自治区,['']
甘肃民族师范学院,甘肃省,['']
内蒙古民族大学,内蒙古自治区,['']
塔里木大学,新疆维吾尔自治区,['']
河套学院,内蒙古自治区,['']
伊犁师范学院,新疆维吾尔自治区,['']
广西民族大学,广西壮族自治区,['']
四川民族学院,四川省,['']
西北民族大学,甘肃省,['']
内蒙古师范大学,内蒙古自治区,['']
集宁师范学院,内蒙古自治区,['']
新疆大学科学技术学院,新疆维吾尔自治区,['']
四川民族学院,四川省,['']
