北京外国语大学,北京市,['211工程']
清华大学,北京市,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
黑龙江大学,黑龙江省,['含国防生']
广东外语外贸大学,广东省,['']
上海交通大学,上海市,"['211工程,985高校,自主招生,含国防生,卓越计划']"
大连外国语大学,辽宁省,['']
北京师范大学,北京市,"['211工程,985高校,有研究生院,自主招生,含国防生']"
吉林大学,吉林省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
浙江大学,浙江省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
华东师范大学,上海市,"['211工程,985高校,有研究生院,自主招生']"
天津外国语大学,天津市,['']
湖南大学,湖南省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
北京大学,北京市,"['211工程,985高校,有研究生院,自主招生,含国防生']"
北京第二外国语学院,北京市,['']
中国人民大学,北京市,"['211工程,985高校,有研究生院,自主招生,含国防生']"
山东大学,山东省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
东北师范大学,吉林省,"['211工程,有研究生院,自主招生']"
南开大学,天津市,"['211工程,985高校,有研究生院,自主招生,含国防生']"
同济大学,上海市,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
东南大学,江苏省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
北京邮电大学,北京市,"['211工程,有研究生院,自主招生,卓越计划']"
上海师范大学,上海市,['']
厦门大学,福建省,"['211工程,985高校,有研究生院,自主招生,含国防生']"
南京农业大学,江苏省,"['211工程,有研究生院']"
西安交通大学,陕西省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
西安外国语大学,陕西省,['']
杭州师范大学,浙江省,['']
北京科技大学,北京市,"['211工程,有研究生院,自主招生,含国防生,卓越计划']"
上海大学,上海市,"['211工程,自主招生,卓越计划']"
华中师范大学,湖北省,['211工程']
上海对外经贸大学,上海市,['']
重庆大学,重庆市,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
南京大学,江苏省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
东北大学,辽宁省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
南京航空航天大学,江苏省,"['211工程,含国防生,卓越计划']"
南通大学,江苏省,['']
对外经济贸易大学,北京市,"['211工程,自主招生']"
苏州大学,江苏省,"['211工程,自主招生,卓越计划']"
哈尔滨理工大学,黑龙江省,['卓越计划，含国防生']
四川大学,四川省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
首都师范大学,北京市,['']
上海海事大学,上海市,['卓越计划']
宁波大学,浙江省,['']
四川外国语大学,重庆市,['']
福建师范大学,福建省,['']
延边大学,吉林省,['211工程']
暨南大学,广东省,['211工程']
南京师范大学,江苏省,"['211工程,自主招生']"
燕山大学,河北省,['卓越计划，含国防生']
复旦大学,上海市,"['211工程,985高校,有研究生院,自主招生,含国防生']"
湖南师范大学,湖南省,"['211工程,自主招生,含国防生']"
武汉大学,湖北省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
北京理工大学,北京市,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
哈尔滨师范大学,黑龙江省,['']
浙江工商大学,浙江省,['']
内蒙古大学,内蒙古自治区,"['211工程,含国防生']"
辽宁大学,辽宁省,"['211工程,含国防生']"
大连海事大学,辽宁省,"['211工程,自主招生,含国防生,卓越计划']"
西南交通大学,四川省,"['211工程,有研究生院,自主招生,含国防生,卓越计划']"
河南大学,河南省,['含国防生']
北京语言大学,北京市,['自主招生']
华中科技大学,湖北省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
深圳大学,广东省,['']
贵州大学,贵州省,"['211工程,自主招生,含国防生,卓越计划']"
天津理工大学,天津市,['卓越计划']
大连大学,辽宁省,['']
中山大学,广东省,"['211工程,985高校,有研究生院,自主招生,含国防生']"
江西师范大学,江西省,['']
中南财经政法大学,湖北省,"['211工程,自主招生']"
山西大学,山西省,['含国防生']
西北大学,陕西省,"['211工程,含国防生']"
中国海洋大学,山东省,"['211工程,985高校,自主招生,含国防生,卓越计划']"
湘潭大学,湖南省,['']
辽宁师范大学,辽宁省,['']
华南师范大学,广东省,"['211工程,含国防生']"
大连理工大学,辽宁省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
大连东软信息学院,辽宁省,['']
吉安职业技术学院,江西省,['']
新疆师范大学,新疆维吾尔自治区,['']
莆田学院,福建省,['']
广东青年职业学院,广东省,['']
广东行政职业学院,广东省,['']
兰州现代职业学院,甘肃省,['']
安庆医药高等专科学校,安徽省,['']
杭州医学院,浙江省,['']
南京城市职业学院,江苏省,['']
广州南洋理工职业学院,广东省,['']
新疆工业职业技术学院,新疆维吾尔自治区,['']
民办万博科技职业学院,安徽省,['']
四川大学锦城学院,四川省,['']
青岛农业大学(莱阳校区),山东省,['']
辽宁师范大学海华学院,辽宁省,['']
内蒙古工业职业学院,内蒙古自治区,['']
鹤壁能源化工职业学院,河南省,['']
河南财政金融学院,河南省,['']
江西师范高等专科学校,江西省,['']
山东杏林科技职业学院,山东省,['']
太原科技大学晋城校区,山西省,['']
辽宁政法职业学院,辽宁省,['']
辽宁对外经贸学院,辽宁省,['']
