中国科学技术大学,安徽省,"['211工程,985高校,有研究生院,自主招生,卓越计划']"
南京大学,江苏省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
武汉大学,湖北省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
北京大学,北京市,"['211工程,985高校,有研究生院,自主招生,含国防生']"
东华理工大学,江西省,['卓越计划']
长江大学,湖北省,['卓越计划']
长安大学,陕西省,"['211工程,自主招生,含国防生,卓越计划']"
中国矿业大学(北京),北京市,"['211工程,有研究生院']"
吉林大学,吉林省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
云南大学,云南省,"['211工程,自主招生,含国防生']"
防灾科技学院,河北省,['卓越计划']
成都理工大学,四川省,['卓越计划']
河北地质大学,河北省,['']
山东科技大学,山东省,['卓越计划']
中国地质大学(武汉),湖北省,"['211工程,有研究生院,自主招生,含国防生,卓越计划']"
中国地质大学(北京),北京市,"['211工程,有研究生院,含国防生,卓越计划']"
东北石油大学,黑龙江省,['卓越计划']
中国石油大学(华东),山东省,"['211工程,卓越计划']"
