华中农业大学,湖北省,"['211工程,自主招生']"
东南大学,江苏省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
同济大学,上海市,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
哈尔滨医科大学,黑龙江省,['']
南方医科大学,广东省,['']
郑州大学,河南省,"['211工程,自主招生,含国防生,卓越计划']"
河北农业大学,河北省,['']
湖南农业大学,湖南省,['']
哈尔滨工业大学,黑龙江省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
重庆医科大学,重庆市,['']
西交利物浦大学,江苏省,['']
泰山医学院,山东省,['']
天津医科大学,天津市,['211工程']
中南大学,湖南省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
山西中医学院,山西省,['']
重庆邮电大学,重庆市,['卓越计划']
苏州大学,江苏省,"['211工程,自主招生,卓越计划']"
徐州医科大学,江苏省,['']
福建医科大学,福建省,['']
山西农业大学,山西省,['']
郑州大学,河南省,"['211工程,自主招生,含国防生,卓越计划']"
河北农业大学,河北省,['']
湖南农业大学,湖南省,['']
哈尔滨工业大学,黑龙江省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
重庆医科大学,重庆市,['']
西交利物浦大学,江苏省,['']
