武汉大学,湖北省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
北京大学,北京市,"['211工程,985高校,有研究生院,自主招生,含国防生']"
中山大学,广东省,"['211工程,985高校,有研究生院,自主招生,含国防生']"
南京大学,江苏省,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
内蒙古科技大学包头师范学院,内蒙古自治区,['']
鞍山师范学院,辽宁省,['']
黑龙江大学,黑龙江省,['含国防生']
安徽大学,安徽省,"['211工程,含国防生']"
陕西理工学院,陕西省,['']
辽宁师范大学,辽宁省,['']
安徽大学,安徽省,"['211工程,含国防生']"
内蒙古科技大学包头师范学院,内蒙古自治区,['']
鞍山师范学院,辽宁省,['']
苏州大学,江苏省,"['211工程,自主招生,卓越计划']"
郑州航空工业管理学院,河南省,['']
陕西理工学院,陕西省,['']
辽宁师范大学,辽宁省,['']
长春师范大学,吉林省,['']
郑州大学,河南省,"['211工程,自主招生,含国防生,卓越计划']"
河北大学工商学院,河北省,['']
东北师范大学,吉林省,"['211工程,有研究生院,自主招生']"
