重庆大学,重庆市,"['211工程,985高校,有研究生院,自主招生,含国防生,卓越计划']"
上海财经大学,上海市,"['211工程,自主招生']"
华中师范大学,湖北省,['211工程']
中南财经政法大学,湖北省,"['211工程,自主招生']"
山东建筑大学,山东省,['卓越计划']
上海立信会计学院,上海市,['']
桂林理工大学,广西壮族自治区,['卓越计划']
东北财经大学,辽宁省,['']
华东师范大学,上海市,"['211工程,985高校,有研究生院,自主招生']"
中央财经大学,北京市,"['211工程,自主招生']"
江西财经大学,江西省,['']
黔南民族师范学院,贵州省,['']
江苏师范大学科文学院,江苏省,['']
曲靖师范学院,云南省,['']
内蒙古财经大学,内蒙古自治区,['']
嘉应学院,广东省,['']
安徽新华学院,安徽省,['']
兰州财经大学,甘肃省,['']
沈阳工程学院,辽宁省,['']
南昌理工学院,江西省,['']
武汉东湖学院,湖北省,['']
安徽财经大学,安徽省,['']
云南财经大学,云南省,['']
沈阳建筑大学,辽宁省,['卓越计划']
广东财经大学,广东省,['']
福建工程学院,福建省,['卓越计划']
兰州财经大学,甘肃省,['']
沈阳工程学院,辽宁省,['']
南昌理工学院,江西省,['']
吉林建筑大学城建学院,吉林省,['']
曲靖师范学院,云南省,['']
内蒙古财经大学,内蒙古自治区,['']
嘉应学院,广东省,['']
安徽新华学院,安徽省,['']
兰州财经大学,甘肃省,['']
沈阳工程学院,辽宁省,['']
南昌理工学院,江西省,['']
吉林建筑大学城建学院,吉林省,['']
山东财经大学,山东省,['']
安顺学院,贵州省,['']
贵州民族大学人文科技学院,贵州省,['']
山西财经大学,山西省,['']
湖南财政经济学院,湖南省,['']
池州学院,安徽省,['']
西安科技大学高新学院,陕西省,['']
北京师范大学珠海分校,广东省,['']
新疆农业大学,新疆维吾尔自治区,['']
长春工程学院,吉林省,['卓越计划']
山东财经大学,山东省,['']
西华大学,四川省,['']
贵州财经大学,贵州省,['']
河北建筑工程学院,河北省,['']
武汉东湖学院,湖北省,['']
安徽财经大学,安徽省,['']
云南财经大学,云南省,['']
沈阳建筑大学,辽宁省,['卓越计划']
广东财经大学,广东省,['']
福建工程学院,福建省,['卓越计划']
宁夏大学,宁夏回族自治区,"['211工程,含国防生,卓越计划']"
大连科技学院,辽宁省,['']
安徽建筑大学,安徽省,['']
西安欧亚学院,陕西省,['']
辽宁工业大学,辽宁省,['']
广州大学,广东省,['']
