复旦大学,"211工程,985高校,有研究生院,自主招生,含国防生"
上海交通大学,"211工程,985高校,自主招生,含国防生,卓越计划"
同济大学,"211工程,985高校,有研究生院,自主招生,含国防生,卓越计划"
华东师范大学,"211工程,985高校,有研究生院,自主招生"
华东理工大学,"211工程,有研究生院,自主招生,含国防生,卓越计划"
上海财经大学,"211工程,自主招生"
第二军医大学,211工程
上海大学,"211工程,自主招生,卓越计划"
东华大学,"211工程,自主招生,卓越计划"
上海理工大学,卓越计划
上海师范大学,
上海中医药大学,
华东政法大学,
上海海事大学,卓越计划
上海海洋大学,
上海工程技术大学,卓越计划
上海对外经贸大学,
上海电力学院,卓越计划
上海应用技术大学,
上海立信会计学院,
上海第二工业大学,卓越计划
上海金融学院,
上海政法学院,
上海电机学院,卓越计划
上海海关学院,
上海商学院,
上海医疗器械高等专科学校,
上海健康医学院,
上海交通大学医学院,有研究生院
复旦大学上海医学院,自主招生
上海外国语大学,"211工程,自主招生"
上海体育学院,
上海音乐学院,
上海戏剧学院,
上海杉达学院,
上海建桥学院,
上海兴伟学院,
上海视觉艺术学院,
上海外国语大学贤达经济人文学院,
上海师范大学天华学院,
上海科技大学,
上海纽约大学,
