四川大学,"211工程,985高校,有研究生院,自主招生,含国防生,卓越计划"
电子科技大学,"211工程,985高校,有研究生院,自主招生,含国防生,卓越计划"
西南交通大学,"211工程,有研究生院,自主招生,含国防生,卓越计划"
西南财经大学,"211工程,自主招生,含国防生"
成都理工大学,卓越计划
四川农业大学,211工程
西南石油大学,
成都中医药大学,
四川师范大学,
西南科技大学,卓越计划
西南民族大学,
成都信息工程大学,
西华大学,
西华师范大学,
四川理工学院,卓越计划
乐山师范学院,
西南医科大学,
川北医学院,
中国民用航空飞行学院,
成都工业学院,
成都学院,卓越计划
攀枝花学院,
绵阳师范学院,
内江师范学院,
成都医学院,
宜宾学院,
西昌学院,
四川文理学院,
四川旅游学院,
成都师范学院,
四川民族学院,
阿坝师范学院,
成都信息工程学院银杏酒店管理学院,
电子科技大学(沙河校区),211工程，985高校，有研究生院
成都体育学院,
四川音乐学院,
四川警察学院,
成都东软学院,
电子科技大学成都学院,
成都理工大学工程技术学院,
四川传媒学院,
成都信息工程大学银杏酒店管理学院,
成都文理学院,
四川工商学院,
四川外国语大学成都学院,
四川工业科技学院,
四川大学锦城学院,
西南财经大学天府学院,
四川大学锦江学院,
四川文化艺术学院,
西南科技大学城市学院,
西南交通大学希望学院,
四川电影电视学院,
