山东大学,"211工程,985高校,有研究生院,自主招生,含国防生,卓越计划"
中国海洋大学,"211工程,985高校,自主招生,含国防生,卓越计划"
山东师范大学,
青岛大学,卓越计划
山东农业大学,
山东科技大学,卓越计划
青岛科技大学,卓越计划
济南大学,卓越计划
山东理工大学,卓越计划，含国防生
青岛理工大学,卓越计划
曲阜师范大学,
山东财经大学,
烟台大学,卓越计划
山东中医药大学,
鲁东大学,
山东建筑大学,卓越计划
齐鲁工业大学,
聊城大学,含国防生
青岛农业大学,
临沂大学,
山东工商学院,
泰山医学院,
山东交通学院,
潍坊医学院,
滨州医学院,
滨州学院,
济宁医学院,
山东政法学院,
德州学院,
潍坊学院,
山东青年政治学院,
泰山学院,
济宁学院,
枣庄学院,
山东女子学院,
山东管理学院,
齐鲁师范学院,
菏泽学院,
山东农业工程学院,
青岛农业大学(莱阳校区),
中国石油大学(华东),"211工程,卓越计划"
哈尔滨工业大学(威海校区),
烟台大学文经学院,
聊城大学东昌学院,
青岛理工大学琴岛学院,
山东师范大学历山学院,
山东财经大学燕山学院,
中国石油大学胜利学院,
山东科技大学泰山科技学院,
青岛农业大学海都学院,
山东财经大学东方学院,
济南大学泉城学院,
北京电影学院现代创意媒体学院,
山东体育学院,
山东艺术学院,
齐鲁医药学院,
青岛滨海学院,
山东工艺美术学院,
山东警察学院,
烟台南山学院,
潍坊科技学院,
山东英才学院,
青岛恒星科技学院,
青岛黄海学院,
山东现代学院,
山东协和学院,
山东华宇工学院,
青岛工学院,
齐鲁理工学院,
山东大学(威海校区),
