中山大学,"211工程,985高校,有研究生院,自主招生,含国防生"
华南理工大学,"211工程,985高校,有研究生院,自主招生,含国防生,卓越计划"
暨南大学,211工程
华南师范大学,"211工程,含国防生"
深圳大学,
华南农业大学,
南方医科大学,
汕头大学,卓越计划
广州中医药大学,
广东工业大学,卓越计划
广东外语外贸大学,
广州大学,
广东财经大学,
广州医科大学,
东莞理工学院,卓越计划
广东海洋大学,
广东金融学院,
广东技术师范学院,
广东医科大学,
广东药科大学,
五邑大学,
韶关学院,
肇庆学院,
佛山科学技术学院,
韩山师范学院,
仲恺农业工程学院,
惠州学院,
嘉应学院,
广东石油化工学院,卓越计划
广东第二师范学院,
广州航海学院,
岭南师范学院,
北京师范大学-香港浸会大学联合国际学院,
广州体育学院,
广州美术学院,
星海音乐学院,
广东白云学院,
广东警官学院,
电子科技大学中山学院,
广东培正学院,
广东东软学院,
华南理工大学广州学院,
广州大学华软软件学院,
中山大学南方学院,
广东外语外贸大学南国商学院,
广东财经大学华商学院,
广东海洋大学寸金学院,
华南农业大学珠江学院,
广东技术师范学院天河学院,
北京师范大学珠海分校,
广东工业大学华立学院,
广州大学松田学院,
广州商学院,
北京理工大学珠海学院,
吉林大学珠海学院,
广州工商学院,
广东科技学院,
广东理工学院,
东莞理工学院城市学院,
中山大学新华学院,
南方科技大学,
香港中文大学（深圳）,
