浙江大学,"211工程,985高校,有研究生院,自主招生,含国防生,卓越计划"
浙江工业大学,卓越计划
浙江师范大学,
杭州电子科技大学,卓越计划
宁波大学,
杭州师范大学,
浙江理工大学,卓越计划
温州医科大学,
中国计量大学,
浙江工商大学,
浙江农林大学,
温州大学,卓越计划
浙江海洋大学,
浙江财经大学,
浙江中医药大学,
绍兴文理学院,
湖州师范学院,
浙江科技学院,卓越计划
浙江万里学院,
嘉兴学院,
丽水学院,
宁波工程学院,卓越计划
浙江水利水电学院,
衢州学院,
台州学院,
浙江大学医学院,自主招生
浙江音乐学院,
中国美术学院,
公安海警学院,
浙江警察学院,
浙江传媒学院,
浙江树人学院,
浙江越秀外国语学院,
宁波大红鹰学院,
浙江大学城市学院,
浙江大学宁波理工学院,
浙江工业大学之江学院,
浙江师范大学行知学院,
宁波大学科学技术学院,
杭州电子科技大学信息工程学院,
浙江理工大学科技与艺术学院,
浙江海洋大学东海科学技术学院,
浙江农林大学暨阳学院,
温州医科大学仁济学院,
浙江中医药大学滨江学院,
杭州师范大学钱江学院,
湖州师范学院求真学院,
绍兴文理学院元培学院,
温州大学瓯江学院,
浙江工商大学杭州商学院,
嘉兴学院南湖学院,
中国计量大学现代科技学院,
浙江财经大学东方学院,
温州商学院,
同济大学浙江学院,
上海财经大学浙江学院,
浙江外国语学院,
宁波诺丁汉大学,
温州肯恩大学,
