国防科学技术大学,211，985，研
中南大学,"211工程,985高校,有研究生院,自主招生,含国防生,卓越计划"
湖南大学,"211工程,985高校,有研究生院,自主招生,含国防生,卓越计划"
湖南师范大学,"211工程,自主招生,含国防生"
湘潭大学,
湖南农业大学,
长沙理工大学,卓越计划
中南林业科技大学,
湖南科技大学,卓越计划
南华大学,卓越计划
湖南中医药大学,
吉首大学,
湖南工业大学,
湖南商学院,
湖南工程学院,卓越计划
湖南文理学院,
湖南科技学院,
衡阳师范学院,
邵阳学院,
邵阳医学高等专科学校,
湖南理工学院,
湖南人文科技学院,
湖南财政经济学院,
湖南工学院,卓越计划
长沙学院,
湖南城市学院,
怀化学院,
湖南第一师范学院,
湘南学院,
湖南女子学院,
长沙师范学院,
湖南医药学院,
长沙医学院,
湖南警察学院,
湖南涉外经济学院,
湘潭大学兴湘学院,
湖南工业大学科技学院,
湖南科技大学潇湘学院,
南华大学船山学院,
湖南商学院北津学院,
湖南师范大学树达学院,
湖南农业大学东方科技学院,
中南林业科技大学涉外学院,
湖南文理学院芙蓉学院,
湖南理工学院南湖学院,
衡阳师范学院南岳学院,
湖南工程学院应用技术学院,
湖南中医药大学湘杏学院,
吉首大学张家界学院,
长沙理工大学城南学院,
湖南应用技术学院,
湖南信息学院,
湖南交通工程学院,
