东北大学,"211工程,985高校,有研究生院,自主招生,含国防生,卓越计划"
大连理工大学,"211工程,985高校,有研究生院,自主招生,含国防生,卓越计划"
辽宁大学,"211工程,含国防生"
东北财经大学,
大连海事大学,"211工程,自主招生,含国防生,卓越计划"
中国医科大学,
辽宁工程技术大学,卓越计划
沈阳农业大学,
沈阳工业大学,卓越计划，含国防生
大连医科大学,
辽宁师范大学,
沈阳建筑大学,卓越计划
沈阳药科大学,
大连交通大学,卓越计划
沈阳航空航天大学,卓越计划
大连工业大学,卓越计划
大连大学,
沈阳师范大学,
辽宁科技大学,卓越计划
辽宁中医药大学,
沈阳理工大学,卓越计划，含国防生
大连海洋大学,
辽宁工业大学,
大连民族大学,
辽宁石油化工大学,卓越计划
沈阳化工大学,卓越计划
渤海大学,
沈阳大学,卓越计划
锦州医科大学,
沈阳工程学院,
沈阳医学院,
鞍山师范学院,
辽东学院,
辽宁科技学院,
营口理工学院,
大连理工大学(盘锦校区),
沈阳工业大学工程学院,
中国医科大学临床医药学院,
大连外国语大学,
中国刑事警察学院,
沈阳体育学院,
沈阳音乐学院,
鲁迅美术学院,
辽宁对外经贸学院,
辽宁警察学院,
大连理工大学城市学院,
沈阳航空航天大学北方科技学院,
沈阳工学院,
大连工业大学艺术与信息工程学院,
大连科技学院,
沈阳城市建设学院,
大连医科大学中山学院,
锦州医科大学医疗学院,
辽宁师范大学海华学院,
辽宁理工学院,
大连财经学院,
沈阳城市学院,
辽宁石油化工大学顺华能源学院,
大连艺术学院,
辽宁中医药大学杏林学院,
辽宁何氏医学院,
沈阳科技学院,
大连东软信息学院,
辽宁财贸学院,
辽宁传媒学院,
